GHSR	GNA13	1
S1PR5	GNAQ	0
AVPR2	GNA15	0
HCRTR2	GNAI1	1
MTNR1A	GNA15	0
PTGER1	GNAO1	0
SSTR2	GNA14	1
ADRA2B	GNAQ	0
AGTR1	GNAL	0
FFAR3	GNA12	1
MCHR1	GNAI1	1
DRD4	GNA13	0
NMBR	GNAI1	1
FPR1	GNAL	0
CHRM5	GNAS	0
ADRB1	GNA13	0
HRH2	GNAI3	1
CHRM4	GNAI1	1
P2RY13	GNAI3	0
CYSLTR1	GNAQ	1
AVPR2	GNAI1	0
CHRM1	GNAQ	1
CNR2	GNA13	0
GPR183	GNA13	0
ADRA2B	GNAS	0
KISS1R	GNAZ	0
S1PR2	GNAL	0
HTR2B	GNA13	0
BDKRB2	GNA15	1
OXGR1	GNAQ	1
CCKAR	GNA13	0
P2RY1	GNA13	1
HTR1E	GNAL	0
OXGR1	GNAL	1
SSTR3	GNA15	0
PTGER2	GNA14	0
ADRA2A	GNAS	0
GALR2	GNA12	1
HTR1F	GNA15	0
SSTR5	GNAZ	0
LPAR6	GNA12	1
APLNR	GNA14	1
ADRA2C	GNAQ	0
HTR1B	GNAO1	1
MRGPRX1	GNAL	1
PTH2R	GNAS	1
NMUR1	GNA13	0
EDNRB	GNAQ	1
HRH1	GNAZ	1
HTR1D	GNA15	0
S1PR1	GNA15	0
PTH2R	GNA12	1
OPRD1	GNAQ	0
P2RY2	GNAO1	0
HRH4	GNAZ	0
PTAFR	GNAS	1
HTR4	GNA14	1
FFAR1	GNAL	1
OPRD1	GNAS	0
UTS2R	GNAS	1
HRH1	GNAQ	1
P2RY11	GNA12	1
CCKAR	GNAO1	1
GPR35	GNA13	1
TACR1	GNAL	1
OPRD1	GNAZ	0
GPR174	GNA12	0
GPR17	GNAS	0
MTNR1A	GNA13	0
S1PR2	GNA13	1
LPAR5	GNAQ	0
CHRM3	GNA15	1
P2RY4	GNA12	0
HRH1	GNAL	1
MCHR2	GNA13	0
MTNR1B	GNA15	0
GPR84	GNAZ	1
MC3R	GNAO1	1
ADORA2A	GNAZ	1
CHRM3	GNAI3	1
GNRHR	GNAI3	1
CCKBR	GNA12	1
GIPR	GNAL	1
MLNR	GNA14	1
ADORA1	GNA12	0
FFAR3	GNAQ	0
PTGIR	GNA13	0
CYSLTR1	GNA12	0
CNR2	GNAI1	1
MRGPRX1	GNAI3	1
TBXA2R	GNA15	0
GALR2	GNAZ	0
GNRHR	GNAZ	0
LPAR5	GNAO1	1
GALR3	GNAI3	1
