From,Entry,Entry Name,Gene Names,Length
F2RL2,O00254,PAR3_HUMAN,F2RL2 PAR3,374
P2RY10,O00398,P2Y10_HUMAN,P2RY10,339
FFAR1,O14842,FFAR1_HUMAN,FFAR1 GPR40,300
FFAR3,O14843,FFAR3_HUMAN,FFAR3 GPR41,346
FFAR2,O15552,FFAR2_HUMAN,FFAR2 FFA2 GPCR43 GPR43,330
MLNR,O43193,MTLR_HUMAN,MLNR GPR38 MTLR MTLR1,412
GALR2,O43603,GALR2_HUMAN,GALR2 GALNR2,387
HCRTR1,O43613,OX1R_HUMAN,HCRTR1,425
HCRTR2,O43614,OX2R_HUMAN,HCRTR2,444
GALR3,O60755,GALR3_HUMAN,GALR3 GALNR3,368
S1PR2,O95136,S1PR2_HUMAN,S1PR2 EDG5,353
ADRB2,P07550,ADRB2_HUMAN,ADRB2 ADRB2R B2AR,413
CHRM2,P08172,ACM2_HUMAN,CHRM2,466
CHRM4,P08173,ACM4_HUMAN,CHRM4,479
ADRB1,P08588,ADRB1_HUMAN,ADRB1 ADRB1R B1AR,477
HTR1A,P08908,5HT1A_HUMAN,HTR1A ADRB2RL1 ADRBRL1,422
CHRM5,P08912,ACM5_HUMAN,CHRM5,532
ADRA2A,P08913,ADA2A_HUMAN,ADRA2A ADRA2R ADRAR,465
ADORA3,P0DMS8,AA3R_HUMAN,ADORA3,318
CHRM1,P11229,ACM1_HUMAN,CHRM1,460
ADRB3,P13945,ADRB3_HUMAN,ADRB3 ADRB3R B3AR,408
DRD2,P14416,DRD2_HUMAN,DRD2,443
ADRA2B,P18089,ADA2B_HUMAN,ADRA2B ADRA2L1 ADRA2RL1,450
ADRA2C,P18825,ADA2C_HUMAN,ADRA2C ADRA2L2 ADRA2RL2,462
CHRM3,P20309,ACM3_HUMAN,CHRM3,590
TACR2,P21452,NK2R_HUMAN,TACR2 NK2R NKNAR TAC2R,398
S1PR1,P21453,S1PR1_HUMAN,S1PR1 CHEDG1 EDG1,382
FPR1,P21462,FPR1_HUMAN,FPR1,350
CNR1,P21554,CNR1_HUMAN,CNR1 CNR,472
DRD1,P21728,DRD1_HUMAN,DRD1,446
TBXA2R,P21731,TA2R_HUMAN,TBXA2R,343
DRD4,P21917,DRD4_HUMAN,DRD4,419
DRD5,P21918,DRD5_HUMAN,DRD5 DRD1B DRD1L2,477
EDNRB,P24530,EDNRB_HUMAN,EDNRB ETRB,442
HRH2,P25021,HRH2_HUMAN,HRH2,359
FPR2,P25090,FPR2_HUMAN,FPR2 FPRH1 FPRL1 LXA4R,351
ADRA1A,P25100,ADA1D_HUMAN,ADRA1D ADRA1A,572
EDNRA,P25101,EDNRA_HUMAN,EDNRA ETA ETRA,427
TACR1,P25103,NK1R_HUMAN,TACR1 NK1R TAC1R,407
PTAFR,P25105,PTAFR_HUMAN,PTAFR PAFR,342
F2R,P25116,PAR1_HUMAN,F2R CF2R PAR1 TR,425
HTR1D,P28221,5HT1D_HUMAN,HTR1D HTR1DA HTRL,377
HTR1B,P28222,5HT1B_HUMAN,HTR1B HTR1DB,390
HTR2A,P28223,5HT2A_HUMAN,HTR2A HTR2,471
HTR2C,P28335,5HT2C_HUMAN,HTR2C HTR1C,458
NMBR,P28336,NMBR_HUMAN,NMBR,390
HTR1E,P28566,5HT1E_HUMAN,HTR1E,365
ADORA2A,P29274,AA2AR_HUMAN,ADORA2A ADORA2,412
ADORA2B,P29275,AA2BR_HUMAN,ADORA2B,332
TACR3,P29371,NK3R_HUMAN,TACR3 NK3R TAC3R,465
BDKRB2,P30411,BKRB2_HUMAN,BDKRB2 BKR2,391
AVPR2,P30518,V2R_HUMAN,AVPR2 ADHR DIR DIR3 V2R,371
ADORA1,P30542,AA1R_HUMAN,ADORA1,326
GRPR,P30550,GRPR_HUMAN,GRPR,384
AGTR1,P30556,AGTR1_HUMAN,AGTR1 AGTR1A AGTR1B AT2R1 AT2R1B,359
OXTR,P30559,OXYR_HUMAN,OXTR,389
SSTR1,P30872,SSR1_HUMAN,SSTR1,391
SSTR2,P30874,SSR2_HUMAN,SSTR2,369
HTR1F,P30939,5HT1F_HUMAN,HTR1F HTR1EL,366
GNRHR,P30968,GNRHR_HUMAN,GNRHR GRHR,328
SSTR4,P31391,SSR4_HUMAN,SSTR4,388
CCKAR,P32238,CCKAR_HUMAN,CCKAR CCKRA,428
CCKBR,P32239,GASR_HUMAN,CCKBR CCKRB,447
MC4R,P32245,MC4R_HUMAN,MC4R,332
GPR183,P32249,GP183_HUMAN,GPR183 EBI2,361
SSTR3,P32745,SSR3_HUMAN,SSTR3,418
MC5R,P33032,MC5R_HUMAN,MC5R,325
HTR7,P34969,5HT7R_HUMAN,HTR7,479
CNR2,P34972,CNR2_HUMAN,CNR2 CB2A CB2B,360
PTGER1,P34995,PE2R1_HUMAN,PTGER1,402
SSTR5,P35346,SSR5_HUMAN,SSTR5,364
ADRA1A,P35348,ADA1A_HUMAN,ADRA1A ADRA1C,466
HRH1,P35367,HRH1_HUMAN,HRH1,487
ADRA1B,P35368,ADA1B_HUMAN,ADRA1B,520
OPRM1,P35372,OPRM_HUMAN,OPRM1 MOR1,400
PTGER2,P35408,PE2R4_HUMAN,PTGER4 PTGER2,488
APLNR,P35414,APJ_HUMAN,APLNR AGTRL1 APJ,380
DRD3,P35462,DRD3_HUMAN,DRD3,400
AVPR1A,P37288,V1AR_HUMAN,AVPR1A AVPR1,418
OPRD1,P41143,OPRD_HUMAN,OPRD1 OPRD,372
OPRK1,P41145,OPRK_HUMAN,OPRK1 OPRK,380
OPRL1,P41146,OPRX_HUMAN,OPRL1 OOR ORL1,370
P2RY2,P41231,P2RY2_HUMAN,P2RY2 P2RU1,377
ADCYAP1R1,P41586,PACR_HUMAN,ADCYAP1R1,468
HTR2B,P41595,5HT2B_HUMAN,HTR2B,481
MC3R,P41968,MC3R_HUMAN,MC3R,323
PTGFR,P43088,PF2R_HUMAN,PTGFR,359
PTGER3,P43115,PE2R3_HUMAN,PTGER3,390
PTGER2,P43116,PE2R2_HUMAN,PTGER2,358
PTGIR,P43119,PI2R_HUMAN,PTGIR PRIPR,386
LPAR6,P43657,LPAR6_HUMAN,LPAR6 P2RY5,344
BDKRB1,P46663,BKRB1_HUMAN,BDKRB1 BRADYB1,353
GALR1,P47211,GALR1_HUMAN,GALR1 GALNR GALNR1,349
P2RY1,P47900,P2RY1_HUMAN,P2RY1,373
AVPR1B,P47901,V1BR_HUMAN,AVPR1B AVPR3 VPR3,424
MTNR1A,P48039,MTR1A_HUMAN,MTNR1A,350
NPBWR1,P48145,NPBW1_HUMAN,NPBWR1 GPR7,328
GIPR,P48546,GIPR_HUMAN,GIPR,466
PTH2R,P49190,PTH2R_HUMAN,PTH2R PTHR2,550
MTNR1B,P49286,MTR1B_HUMAN,MTNR1B,362
PRLHR,P49683,PRLHR_HUMAN,PRLHR GPR10 GR3,370
HTR6,P50406,5HT6R_HUMAN,HTR6,440
P2RY4,P51582,P2RY4_HUMAN,P2RY4 NRU,365
F2RL1,P55085,PAR2_HUMAN,F2RL1 GPR11 PAR2,397
MC1R,Q01726,MSHR_HUMAN,MC1R MSHR,317
PTH1R,Q03431,PTH1R_HUMAN,PTH1R PTHR PTHR1,593
PTGDR,Q13258,PD2R_HUMAN,PTGDR,359
GPR17,Q13304,GPR17_HUMAN,GPR17,367
HTR4,Q13639,5HT4R_HUMAN,HTR4,388
P2RY6,Q15077,P2RY6_HUMAN,P2RY6 PP2891,328
P2RY14,Q15391,P2Y14_HUMAN,P2RY14 GPR105 KIAA0001,338
LTB4R,Q15722,LT4R1_HUMAN,LTB4R BLT BLT1 BLTR CMKRL1 GPR16 P2RY7,352
FFAR4,Q5NUL3,FFAR4_HUMAN,FFAR4 GPR120 GPR129 O3FAR1 PGR4,361
GPR119,Q8TDV5,GP119_HUMAN,GPR119,335
LPAR1,Q92633,LPAR1_HUMAN,LPAR1 EDG2 LPA1,364
GHSR,Q92847,GHSR_HUMAN,GHSR,366
KISS1R,Q969F8,KISSR_HUMAN,KISS1R AXOR12 GPR54,398
MCHR2,Q969V1,MCHR2_HUMAN,MCHR2 GPR145 SLT,340
P2RY11,Q96G91,P2Y11_HUMAN,P2RY11,374
MRGPRX2,Q96LB1,MRGX2_HUMAN,MRGPRX2 MRGX2,330
MRGPRX1,Q96LB2,MRGX1_HUMAN,MRGPRX1 MRGX1 SNSR3 SNSR4,322
OXGR1,Q96P68,OXGR1_HUMAN,OXGR1 GPR80 GPR99 P2RY15 P2Y15,337
F2RL3,Q96RI0,PAR4_HUMAN,F2RL3 PAR4,385
S1PR3,Q99500,S1PR3_HUMAN,S1PR3 C9orf108 C9orf47 EDG3,378
LPAR4,Q99677,LPAR4_HUMAN,LPAR4 GPR23 LPA4 P2RY9,370
MCHR1,Q99705,MCHR1_HUMAN,MCHR1 GPR24 SLC1,353
P2RY13,Q9BPV8,P2Y13_HUMAN,P2RY13 GPR86 GPR94 FKSG77,354
GPR174,Q9BXC1,GP174_HUMAN,GPR174 FKSG79 GPCR17,333
NMUR2,Q9GZQ4,NMUR2_HUMAN,NMUR2 NMU2R TGR1,415
NPFFR1,Q9GZQ6,NPFF1_HUMAN,NPFFR1 GPR147 NPFF1,430
LPAR5,Q9H1C0,LPAR5_HUMAN,LPAR5 GPR92 GPR93,372
S1PR5,Q9H228,S1PR5_HUMAN,S1PR5 EDG8,398
P2RY12,Q9H244,P2Y12_HUMAN,P2RY12 HORK3,342
HRH4,Q9H3N8,HRH4_HUMAN,HRH4 GPCR105,390
NMUR1,Q9HB89,NMUR1_HUMAN,NMUR1 GPR66,426
LPAR2,Q9HBW0,LPAR2_HUMAN,LPAR2 EDG4 LPA2,348
GPR35,Q9HC97,GPR35_HUMAN,GPR35,309
LTB4R2,Q9NPC1,LT4R2_HUMAN,LTB4R2 BLT2R BLTR2,358
GPR84,Q9NQS5,GPR84_HUMAN,GPR84 EX33,396
CYSLTR2,Q9NS75,CLTR2_HUMAN,CYSLTR2 CYSLT2 CYSLT2R PSEC0146,346
LPAR3,Q9UBY5,LPAR3_HUMAN,LPAR3 EDG7 LPA3,353
UTS2R,Q9UKP6,UR2R_HUMAN,UTS2R GPR14,389
GPR132,Q9UNW8,GP132_HUMAN,GPR132 G2A,380
GPR34,Q9UPC5,GPR34_HUMAN,GPR34,381
CYSLTR1,Q9Y271,CLTR1_HUMAN,CYSLTR1 CYSLT1,337
GPR55,Q9Y2T6,GPR55_HUMAN,GPR55,319
HRH3,Q9Y5N1,HRH3_HUMAN,HRH3 GPCR97,445
NPFFR2,Q9Y5X5,NPFF2_HUMAN,NPFFR2 GPR74 NPFF2 NPGPR,522
